,Time [s],Fz [N],target position [-]
130,4.1299391,15.232490000000059,2052
131,4.161701899999999,15.21249000000006,1332
132,4.1926051,15.352490000000058,2052
133,4.2248722999999995,16.332490000000057,1332
134,4.255697699999999,16.762490000000057,2053
135,4.2867394999999995,16.542490000000058,1333
136,4.3193012,17.112490000000058,2054
137,4.3486922,15.432490000000058,1335
138,4.3794076,17.16249000000006,2054
139,4.4101207,16.012490000000057,1337
140,4.442205899999999,17.682490000000058,2054
141,4.473735,14.96249000000006,1340
142,4.5042866,15.082490000000057,2054
143,4.5351076,14.622490000000058,1340
144,4.5656517999999995,15.272490000000058,2054
145,4.596833,14.842490000000058,1340
146,4.629079899999999,15.472490000000057,2054
147,4.660582399999999,14.312490000000057,1340
148,4.6913637,15.542490000000058,2054
149,4.722088899999999,16.66249000000006,1340
